inETIP,subcategory,company,website,country,code_sig,network_sig,documentation,potential maven page,potential maven repo,potential github
ETIP,Mobile & Web Analytics,Bitly,bitly.com,,com.bitly.bitly,,,,,
,,Blackberry Analytics Service,,,,,,,,
ETIP,,Blesh,blesh.com,,com.blesh.sdk,,,,,
,,Blind Ferret Media,blindferretmedia.com,,,,,,,
,Retail Proximity & IoT Marketing,Blis,blis.com,,,,,,,https://github.com/blis
,,BlisMedia,blismedia.com,UK,,,,,,
,,Bloovue,,,,,,,,
,Mobile & Web Analytics,Blue Green Analytics,bluegreenanalytics.com,,,,,,,
ETIP,,Bluecats,bluecats.com,,com.bluecats.sdk,,,,,
ETIP,Customer Data Platform,BlueConic,blueconic.com,,com.blueconic,,,,,
ETIP,,BlueKai (acquired by Oracle),bluekai.com,,com.bluekai.sdk,,,,,
,,bluTonic,blutonic.com,USA,,,,,,https://github.com/blutonic
,,Boingo,media.boingo.com,USA,,,,,,https://github.com/boingo
,,BOKU,,,,,,,,https://github.com/BOKU
ETIP,Mobile Marketing,Branch,branch.io,,io.branch.sdk,,,,,
,Channel Partner & Local Marketing,Brandify,brandify.com,,com.brandify.brandifymobilesdk,,,https://bintray.com/brandify,,https://github.com/brandify
,,Branovate,branovate.com,Israel,,,,,,https://github.com/branovate
ETIP,Marketing Automation & Campaign/Lead Management,Braze (formerly Appboy),braze.com,,com.appboy,appboy\.com,,,,
,Retail Proximity & IoT Marketing,Brickworksoftware,brickworksoftware.com,,,,,,,https://github.com/brickworksoftware
ETIP,Video Marketing,Brightcove,brightcove.com,,com.brightcove.,,,,,
,Video Advertising,BrightRoll,brightroll.com,USA,com.brightroll,,,,,https://github.com/brightroll
,,BSQUARE,,,,,,,,https://github.com/BSQUARE
ETIP,,Bugfender,bugfender.com,,com.bugfender.sdk,,,,,
ETIP,,Bugly,bugly.qq.com,,com.tencent.bugly,,,,,
,,Bugsense,bugsense.com (redirects to mint.splunk.com),,com.bugsense,,,,,https://github.com/bugsense
ETIP,,Bugsnag,,,,bugsnag.com,,,,
,Mobile Marketing,Bulk-SMS.io,bulk-sms.io,,,,,,,
,Mobile Marketing,Burst SMS,burstsms.com.au,,,,,,,https://github.com/burstsms
,iPaaS Cloud/Data Integration & Tag Management,Burt,burtcorp.com,,com.burtcorp.sdk,,,,,https://github.com/burtcorp
,,business.pinterest,,,,,,,,
,Mobile Marketing,Button,usebutton.com,,com.usebutton.sdk,,,,,https://github.com/usebutton
,Mobile & Web Analytics,Buxton,buxtonco.com,,,,,,,https://github.com/buxtonco
,,BuzzCity,buzzcity.com,Singapore,,,,,,https://github.com/buzzcity
,Native/Content Advertising,BuzzFeed,buzzfeed.com,,com.buzzfeed.ads.,,,,,https://github.com/buzzfeed
,Mobile Marketing,byyd,byyd.me,,,,,,,https://github.com/byyd
,,CA Reward,ca-reward.co.jp,Japan,,,,,,
,Mobile Marketing,Call Loop,callloop.com,,,,,,,https://github.com/callloop
,Mobile Marketing,CallHub,callhub.io,,,,,,,https://github.com/callhub
